path,tier,scene,scene_group,light,setting,framing,license,attribution,source,url,md5
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Tess Watson https://www.flickr.com/photos/tessawatson/3641152544/,openimages:validation:0743c99708a6ba32,https://open-images-dataset.s3.amazonaws.com/validation/0743c99708a6ba32.jpg,c70e9971302519b202f326e96283311d
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,rudresh_calls https://www.flickr.com/photos/85677269@N00/5347931956,openimages:validation:ff3845426149abf5,https://open-images-dataset.s3.amazonaws.com/validation/ff3845426149abf5.jpg,98e2cfb961be578eafd7de64dd5baa03
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Archit Ratan https://www.flickr.com/photos/architratan/10922120754,openimages:validation:e6115afdd59b271c,https://open-images-dataset.s3.amazonaws.com/validation/e6115afdd59b271c.jpg,35791508a2230c5f35d4424d81eeae8a
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Sankara Subramanian https://www.flickr.com/photos/sankaracs/3518405398,openimages:validation:a92fb2e1ee320bd8,https://open-images-dataset.s3.amazonaws.com/validation/a92fb2e1ee320bd8.jpg,8512e006238b0d0b3c16f7fac54521a7
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Melissa Smith https://www.flickr.com/photos/69370495@N07/7695111030,openimages:validation:fdc88afb6f6fa1bd,https://open-images-dataset.s3.amazonaws.com/validation/fdc88afb6f6fa1bd.jpg,f5c52e813c39162aa4cd2e083e13e809
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,Kevin Cole https://www.flickr.com/photos/kevcole/1215968023,openimages:validation:a5e3bf47bd6b6cd6,https://open-images-dataset.s3.amazonaws.com/validation/a5e3bf47bd6b6cd6.jpg,1f7e6bbc3865fe4668ef1a122dc78184
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Jeremy Bradford https://www.flickr.com/photos/jtbradford/15237167351,openimages:validation:0931504585a12d03,https://open-images-dataset.s3.amazonaws.com/validation/0931504585a12d03.jpg,f92f18f67116930dfb56f7a2da06f684
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,Patty McGann https://www.flickr.com/photos/pattymc/5212340929,openimages:validation:f12683c9889fcd1d,https://open-images-dataset.s3.amazonaws.com/validation/f12683c9889fcd1d.jpg,fc4e3d565698336a44aa2828e9b9fba7
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,Alan Levine https://www.flickr.com/photos/cogdog/11744880944,openimages:validation:e8896aa5749a1472,https://open-images-dataset.s3.amazonaws.com/validation/e8896aa5749a1472.jpg,b18b3f04099b9610e6e2b321eae60867
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Bev Sykes https://www.flickr.com/photos/basykes/6800949,openimages:validation:e3bf2841e4822068,https://open-images-dataset.s3.amazonaws.com/validation/e3bf2841e4822068.jpg,2afdee2a97488fe8f2b13655383c659a
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Dawn Ellner https://www.flickr.com/photos/naturesdawn/2190668696,openimages:validation:52b2902289f2eefd,https://open-images-dataset.s3.amazonaws.com/validation/52b2902289f2eefd.jpg,ee3beba301771171ca57e3289bd643fe
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,LEONARDO DASILVA https://www.flickr.com/photos/leonardodasilva/590682552,openimages:validation:c61700049325c9f5,https://open-images-dataset.s3.amazonaws.com/validation/c61700049325c9f5.jpg,e32ef4404eaf338c099ee2883f9bf9a4
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,James St. John https://www.flickr.com/photos/jsjgeology/8364320629,openimages:validation:416119d4062c5821,https://open-images-dataset.s3.amazonaws.com/validation/416119d4062c5821.jpg,96b35f28b6dd1396418356b488865c0e
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,InAweofGod&#x27;sCreation https://www.flickr.com/photos/nhoulihan/7167596017,openimages:validation:b7356252b59f0200,https://open-images-dataset.s3.amazonaws.com/validation/b7356252b59f0200.jpg,f32944a6a9e0f9592dcc8a4dd2956273
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Colby Stopa https://www.flickr.com/photos/photographybycolby/10377100954,openimages:validation:8a175a768f4bda0e,https://open-images-dataset.s3.amazonaws.com/validation/8a175a768f4bda0e.jpg,0b3c2064ecac22d8d0af8b0319209731
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,flowcomm https://www.flickr.com/photos/flowcomm/13948855798,openimages:validation:c2e24728760f0762,https://open-images-dataset.s3.amazonaws.com/validation/c2e24728760f0762.jpg,eb68cae92648d1a85da9838ca03ecb76
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,shrikant rao https://www.flickr.com/photos/9494793@N06/3029372771/,openimages:validation:7fade40697c8274b,https://open-images-dataset.s3.amazonaws.com/validation/7fade40697c8274b.jpg,d6beeb75af04bbe3de91fcbc59da9f62
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Betsy Weber https://www.flickr.com/photos/betsyweber/301481462,openimages:validation:5797ef5daebc4f48,https://open-images-dataset.s3.amazonaws.com/validation/5797ef5daebc4f48.jpg,066360dd1ef926cce7841d0f08f8bc18
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Pedro Lozano https://www.flickr.com/photos/peterlozano/4878745140/,openimages:validation:a6a875a9f6d1f829,https://open-images-dataset.s3.amazonaws.com/validation/a6a875a9f6d1f829.jpg,bfc71995bebe56a0eb1d6f864b4c5525
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,ABERLIN2009 https://www.flickr.com/photos/aberlin2009/3899590744/,openimages:validation:d32bbcdf514946aa,https://open-images-dataset.s3.amazonaws.com/validation/d32bbcdf514946aa.jpg,a9f67c494b94d739a5e47c81d2c1a826
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,Akulatraxas https://www.flickr.com/photos/akulatraxas/17170345005,openimages:validation:28362ec0cb385ca8,https://open-images-dataset.s3.amazonaws.com/validation/28362ec0cb385ca8.jpg,73e493e9c014c09c8802fca282137205
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,Drew Avery https://www.flickr.com/photos/33590535@N06/3712985590,openimages:validation:78a1248d4383e287,https://open-images-dataset.s3.amazonaws.com/validation/78a1248d4383e287.jpg,f1b4ac0bd51d67edf4478234c48c9197
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,Greg Wohead https://www.flickr.com/photos/gregwohead/5958550197,openimages:validation:a56e3a4768fe60a7,https://open-images-dataset.s3.amazonaws.com/validation/a56e3a4768fe60a7.jpg,60c94c13639012edea307c431d129007
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Dawn Scranton https://www.flickr.com/photos/68782989@N03/6757967947,openimages:validation:28c6046282542825,https://open-images-dataset.s3.amazonaws.com/validation/28c6046282542825.jpg,07df80425222d24bfdc11cf59012ae8b
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,USFWS - Pacific Region https://www.flickr.com/photos/usfwspacific/5697247509,openimages:validation:e3c6c216a083f39f,https://open-images-dataset.s3.amazonaws.com/validation/e3c6c216a083f39f.jpg,ec2eb66ab1e16ecbe50cc0604d8ed0ad
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Richard Hurd https://www.flickr.com/photos/rahimageworks/8163197754,openimages:validation:429019e83c1c2c94,https://open-images-dataset.s3.amazonaws.com/validation/429019e83c1c2c94.jpg,593817959aa6f12509a5b07bc08b1083
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Marcin Chady https://www.flickr.com/photos/marcinchady/15005974785,openimages:validation:a4c7687ed90c5cf0,https://open-images-dataset.s3.amazonaws.com/validation/a4c7687ed90c5cf0.jpg,5ddae1e528e7ccd84b468d75003d5ea1
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Colleen Benelli https://www.flickr.com/photos/49651517@N02/4875066631,openimages:validation:a8820fa459918c4f,https://open-images-dataset.s3.amazonaws.com/validation/a8820fa459918c4f.jpg,1de26c7ed7b360568577a8c9c2224bf6
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Steve Garner https://www.flickr.com/photos/22032337@N02/7716573192,openimages:validation:31113c417de95b38,https://open-images-dataset.s3.amazonaws.com/validation/31113c417de95b38.jpg,86a31510cb6ec3bc84decc6cb32a10c1
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,dfaulder https://www.flickr.com/photos/dfaulder/14076572909,openimages:validation:395a8ff74a87b77c,https://open-images-dataset.s3.amazonaws.com/validation/395a8ff74a87b77c.jpg,4b9d87c292083fa832c46bfacbec5984
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Raúl Juliá https://www.flickr.com/photos/raultimate/427485954,openimages:validation:01bbd516e7a1f404,https://open-images-dataset.s3.amazonaws.com/validation/01bbd516e7a1f404.jpg,0f9ccd9cd7afcb682a078ebe2b6be17d
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Steve Shattuck https://www.flickr.com/photos/steve_shattuck/3817538270,openimages:validation:aa085b73c1df05f1,https://open-images-dataset.s3.amazonaws.com/validation/aa085b73c1df05f1.jpg,4b27faebacca4f8aef4437c4faa48f0f
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Brian Ralphs https://www.flickr.com/photos/birdbrian/16795623192,openimages:validation:d1758981bfb343a4,https://open-images-dataset.s3.amazonaws.com/validation/d1758981bfb343a4.jpg,21736129d99f7bcedb7ce8d5dd31f938
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Felipe Gabaldón https://www.flickr.com/photos/felipe_gabaldon/4019033830,openimages:validation:04074e1fe2f511b2,https://open-images-dataset.s3.amazonaws.com/validation/04074e1fe2f511b2.jpg,579eff3e038d44d7b9f1e3331cc792ff
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Bjoern Schwarz https://www.flickr.com/photos/bagalute/17148670272,openimages:validation:4d9ddd9eadc8b184,https://open-images-dataset.s3.amazonaws.com/validation/4d9ddd9eadc8b184.jpg,baf3c36cb5b77ab55a187a36fb887726
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Alby Headrick https://www.flickr.com/photos/southernpixel/245429668,openimages:validation:7fbcb08979743f7b,https://open-images-dataset.s3.amazonaws.com/validation/7fbcb08979743f7b.jpg,cfe4a68717faffccf3d5a76eb241880b
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Jason Crotty https://www.flickr.com/photos/46789814@N05/4296912412,openimages:validation:8ce73741c8472b54,https://open-images-dataset.s3.amazonaws.com/validation/8ce73741c8472b54.jpg,85a72864bc5082ed5a65b76c125b50fd
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,John Benson https://www.flickr.com/photos/j_benson/2750075577,openimages:validation:68aff9c12bab29ef,https://open-images-dataset.s3.amazonaws.com/validation/68aff9c12bab29ef.jpg,46b0f94bbfceb55a1a9c142a45aa5961
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Peter Trimming https://www.flickr.com/photos/peter-trimming/5717134656,openimages:validation:86beba424918c6e8,https://open-images-dataset.s3.amazonaws.com/validation/86beba424918c6e8.jpg,94b31656f451ab2a1cdcb85dda37e06f
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Dennis Hill https://www.flickr.com/photos/fontplaydotcom/526377705,openimages:validation:031720efe00a754b,https://open-images-dataset.s3.amazonaws.com/validation/031720efe00a754b.jpg,1273f3b2f227bb6f990d3dabb50c00f6
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Charlie Cowins https://www.flickr.com/photos/charliecowins/2807777380,openimages:validation:ae2ffad260809f2b,https://open-images-dataset.s3.amazonaws.com/validation/ae2ffad260809f2b.jpg,9186a32fa7a819be31902cebd46f4e56
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Murray Barnes https://www.flickr.com/photos/aeu04117/3884838581,openimages:validation:55a16decd6571290,https://open-images-dataset.s3.amazonaws.com/validation/55a16decd6571290.jpg,8f43d6526926ae982928634d2595b193
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Adan Garcia https://www.flickr.com/photos/adangarcia/3477497985,openimages:validation:2f10d9a676e74ee3,https://open-images-dataset.s3.amazonaws.com/validation/2f10d9a676e74ee3.jpg,85ac5e18921275ddeac2d7d0ad944e65
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,greenasian https://www.flickr.com/photos/photos_by_chrystal/1473791345,openimages:validation:9b8d33d38c482066,https://open-images-dataset.s3.amazonaws.com/validation/9b8d33d38c482066.jpg,7762977b8eb723541acf039f0a4e3502
,scene,bird_flight,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Kevin Cole https://www.flickr.com/photos/kevcole/2176278474,openimages:validation:67da7ab9a06548e0,https://open-images-dataset.s3.amazonaws.com/validation/67da7ab9a06548e0.jpg,435cb560c42b1216bfb0a1e9f2dc7fc8
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Fimb https://www.flickr.com/photos/fimbrethil/165775714,openimages:validation:8686bb05efd9664a,https://open-images-dataset.s3.amazonaws.com/validation/8686bb05efd9664a.jpg,f20159887f965b12e02926a3f5b1a829
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,thinboyfatter https://www.flickr.com/photos/1234abcd/4456467829,openimages:validation:3415bffff7de8f03,https://open-images-dataset.s3.amazonaws.com/validation/3415bffff7de8f03.jpg,adecf0328da3a9e2c821200ba61f61fb
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Chris Eason https://www.flickr.com/photos/mister-e/3429972890/,openimages:validation:82955c06319a9bc4,https://open-images-dataset.s3.amazonaws.com/validation/82955c06319a9bc4.jpg,521278fe6006bb98f75392ccb86e0393
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,peasap https://www.flickr.com/photos/peasap/855776347,openimages:validation:e30c04da9f5c1bed,https://open-images-dataset.s3.amazonaws.com/validation/e30c04da9f5c1bed.jpg,e1e2faf71c160319b02e45c5a2d4ccf9
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Michael MK Khor https://www.flickr.com/photos/mk-creatures/8317091385,openimages:validation:4b5351938c5b3824,https://open-images-dataset.s3.amazonaws.com/validation/4b5351938c5b3824.jpg,a1ec61c171f6ec2afa8b78e17a6889ed
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Domenico Salvagnin https://www.flickr.com/photos/dominiqs/759146901,openimages:validation:83fd8c85621067e3,https://open-images-dataset.s3.amazonaws.com/validation/83fd8c85621067e3.jpg,2b1a9fdeff46d52abd0aa54ab5371a8f
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Carlos Montalva https://www.flickr.com/photos/carlosmontalva/4015309859,openimages:validation:d1ace330f2d4a427,https://open-images-dataset.s3.amazonaws.com/validation/d1ace330f2d4a427.jpg,2cb1594f9a8f6bd0f34921bed0ad5386
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,N.A. Booth https://www.flickr.com/photos/nickbooth/9498255352,openimages:validation:767f0a7861cabc5b,https://open-images-dataset.s3.amazonaws.com/validation/767f0a7861cabc5b.jpg,3f021aee60854f937512c33704d7e326
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,andy muir https://www.flickr.com/photos/37589005@N04/8274985699,openimages:validation:c6c69f5252905776,https://open-images-dataset.s3.amazonaws.com/validation/c6c69f5252905776.jpg,c5b7324834b14d0ebbb59c8607d1f66e
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Steve Slater https://www.flickr.com/photos/wildlife_encounters/17182977132,openimages:validation:a2ceae700f36d562,https://open-images-dataset.s3.amazonaws.com/validation/a2ceae700f36d562.jpg,0c36e13ce6d831df4d7b67d1eace0327
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Michael Malz https://www.flickr.com/photos/michaelmalz/4578608570,openimages:validation:d38d83e318749dc5,https://open-images-dataset.s3.amazonaws.com/validation/d38d83e318749dc5.jpg,369cb01a0ac42bcd384b76076f82e34e
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Amateur  Indonesian Photographer https://www.flickr.com/photos/mochbsetyadi/7082393041,openimages:validation:50715f80a82402b1,https://open-images-dataset.s3.amazonaws.com/validation/50715f80a82402b1.jpg,cf160c588c9863fa21804ad881369a45
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,twak https://www.flickr.com/photos/twak/4024576481,openimages:validation:7b990a6edf11def6,https://open-images-dataset.s3.amazonaws.com/validation/7b990a6edf11def6.jpg,1dab71bb85b389fed6873d5190adfe5c
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Doug Letterman https://www.flickr.com/photos/dougletterman/349809817,openimages:validation:e1de45bae8170612,https://open-images-dataset.s3.amazonaws.com/validation/e1de45bae8170612.jpg,0e52c6f9cc027b0834629bc19b070c17
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Jennifer https://www.flickr.com/photos/whetzel/46212111,openimages:validation:01e3bcb7d22efc25,https://open-images-dataset.s3.amazonaws.com/validation/01e3bcb7d22efc25.jpg,4609ab635e067a3f8a2a4e0af72fcaec
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Cristóbal Alvarado Minic https://www.flickr.com/photos/ctam/2659122597,openimages:validation:84859eef82c630ac,https://open-images-dataset.s3.amazonaws.com/validation/84859eef82c630ac.jpg,334ccc66945f4e81b1a997daa9b791c8
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Robert Taylor https://www.flickr.com/photos/bobolink/4746700189/,openimages:validation:179d4e466a69e6bb,https://open-images-dataset.s3.amazonaws.com/validation/179d4e466a69e6bb.jpg,65270d978e9de1df908821eb142ad203
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,Petra Kohlstädt https://www.flickr.com/photos/91576944@N00/1297644256,openimages:validation:a42b8159456a2b21,https://open-images-dataset.s3.amazonaws.com/validation/a42b8159456a2b21.jpg,97c976694b560c8b86bb971773806f08
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Katherine Johnson https://www.flickr.com/photos/aka_kath/44202083,openimages:validation:68f267f4b05b34d8,https://open-images-dataset.s3.amazonaws.com/validation/68f267f4b05b34d8.jpg,502c5575f0cbd5987709f453d6dfd51d
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Jassen https://www.flickr.com/photos/jassen/2598432497,openimages:validation:045952c35925925a,https://open-images-dataset.s3.amazonaws.com/validation/045952c35925925a.jpg,124b50e5af3345aaef850e55914fb9c8
,scene,,wildlife,,,,https://creativecommons.org/licenses/by/2.0/,Lelê Breveglieri https://www.flickr.com/photos/leleuzis/8739758000,openimages:validation:b86a7a04721e78f2,https://open-images-dataset.s3.amazonaws.com/validation/b86a7a04721e78f2.jpg,546d8eb190c8d4966717074cbcf97712
,scene,,wildlife,,,close_up,https://creativecommons.org/licenses/by/2.0/,normanack https://www.flickr.com/photos/29278394@N00/5535673085,openimages:validation:6403ebc36aaa6d5b,https://open-images-dataset.s3.amazonaws.com/validation/6403ebc36aaa6d5b.jpg,f6e4b1120fed36e68b03405c51f1b045
